feature,coef,abs_coef
mom_90 dd_90^2,0.15008765183858253,0.15008765183858253
mom_90 mom_270 dd_15,-0.1497483352711044,0.1497483352711044
mom_180 mom_300 dd_60,-0.14922305409831002,0.14922305409831002
mom_180 dd_120^2,-0.1490141568333225,0.1490141568333225
mom_120 dd_15 dd_120,0.14837949402127096,0.14837949402127096
mom_60 mom_270 mom_360,-0.14674429786486792,0.14674429786486792
mom_360^3,0.14671994158541682,0.14671994158541682
mom_30 mom_90^2,0.14579044435440935,0.14579044435440935
mom_30 mom_60 mom_90,0.1454276623712772,0.1454276623712772
mom_180 dd_120,-0.14412271360387818,0.14412271360387818
mom_180^2 mom_300,0.1415921945207043,0.1415921945207043
mom_180 mom_270 mom_300,0.14000826741353228,0.14000826741353228
mom_30 mom_120 mom_300,-0.1369610797842379,0.1369610797842379
mom_30 mom_60,-0.1358409291417532,0.1358409291417532
mom_30^3,0.13554432719939194,0.13554432719939194
mom_120 mom_180 mom_360,0.13459771379835464,0.13459771379835464
mom_120 mom_360 dd_120,-0.13310221134254144,0.13310221134254144
mom_270 mom_300 dd_15,0.13305164181740076,0.13305164181740076
mom_270 dd_15 dd_60,-0.13231208777505532,0.13231208777505532
dd_60 dd_90,-0.13223121448790826,0.13223121448790826
dd_15 dd_60 dd_90,0.13185540017751027,0.13185540017751027
mom_90,-0.13094871475687073,0.13094871475687073
mom_60 mom_90 dd_60,0.12982345174542478,0.12982345174542478
mom_60 mom_90 dd_15,0.12906378911427838,0.12906378911427838
mom_270 dd_60 dd_90,0.12876414217398308,0.12876414217398308
mom_120 mom_180 dd_60,0.12827635202377694,0.12827635202377694
mom_360 dd_90,0.12735504277052484,0.12735504277052484
mom_120^2 dd_60,0.12714762553271333,0.12714762553271333
mom_30 mom_60 dd_120,0.12681041241057495,0.12681041241057495
mom_180 dd_90^2,-0.1257303435053724,0.1257303435053724
mom_120 dd_15^2,0.12494249535758825,0.12494249535758825
mom_90 mom_270 mom_300,0.12414653966381901,0.12414653966381901
mom_60 mom_360 dd_60,0.12317329645732006,0.12317329645732006
mom_300^2 dd_60,-0.12232221794645166,0.12232221794645166
mom_60 mom_90 dd_120,0.1217328966281115,0.1217328966281115
mom_90 dd_90,0.12099550262606548,0.12099550262606548
mom_30 mom_60 mom_360,0.12022298616960057,0.12022298616960057
mom_30 mom_360 dd_60,0.11836877985280571,0.11836877985280571
mom_30 mom_360 dd_120,0.11824089545164569,0.11824089545164569
mom_60^2 dd_15,-0.11756879874046199,0.11756879874046199
mom_60 mom_120 mom_360,-0.11746149823491316,0.11746149823491316
mom_90 mom_270 mom_360,0.11523498914518152,0.11523498914518152
mom_30 dd_120^2,-0.11418311136432163,0.11418311136432163
mom_60 dd_15 dd_90,0.1113684279329319,0.1113684279329319
mom_90^2 dd_90,0.10992215917687644,0.10992215917687644
mom_60 dd_60 dd_120,-0.10980470729943378,0.10980470729943378
mom_30 mom_60 mom_180,0.10865430442495194,0.10865430442495194
dd_120^3,-0.10757916631667698,0.10757916631667698
mom_30^2 mom_120,0.10744019475241837,0.10744019475241837
mom_30 dd_15 dd_60,-0.10603677170264793,0.10603677170264793
mom_300^2 dd_15,0.1055648973685456,0.1055648973685456
mom_180 mom_300 dd_15,0.10511579442020763,0.10511579442020763
mom_300 dd_15 dd_120,0.10497283684345811,0.10497283684345811
mom_60 mom_270 mom_300,-0.10457545401879832,0.10457545401879832
mom_90 mom_120 mom_180,0.1035739461210188,0.1035739461210188
